attack_MNIST_p0.1
    last 2 stats in final epoch
    i=220: accuracy 97.88, attack success rate 98.97
    i=230: accuracy 97.84, attack success rate 99.87

attack_MNIST_p0.3
    last 2 stats in final epoch
    i=220: accuracy 97.63, attack success rate 99.14
    i=230: accuracy 97.52, attack success rate 100.0

attack_MNIST_p0.5
    last 2 stats in final epoch
    i=220: accuracy 97.34, attack success rate 99.95
    i=230: accuracy 96.99, attack success rate 100.0

defense_MNIST_p0.1_qt0.0
    last 2 epochs
    i=0: accuracy 97.17, attack success rate 11.76, avg_weight_poisoned 1.042458415031433
    i=50: accuracy 97.32, attack success rate 20.95, avg_weight_poisoned 1.0092294216156006
    i=60: accuracy 97.13, attack success rate 17.72, avg_weight_poisoned 1.0034805536270142
    i=70: accuracy 97.33, attack success rate 33.95, avg_weight_poisoned 0.9932389259338379
    i=80: accuracy 97.49, attack success rate 49.67, avg_weight_poisoned 1.01255464553833
    i=90: accuracy 97.44, attack success rate 61.21, avg_weight_poisoned 0.9552043080329895
    i=100: accuracy 97.34, attack success rate 61.11, avg_weight_poisoned 1.0190998315811157
    i=110: accuracy 97.37, attack success rate 70.54, avg_weight_poisoned 0.8886922597885132
    i=120: accuracy 97.59, attack success rate 85.28, avg_weight_poisoned 1.007925271987915
    i=130: accuracy 97.55, attack success rate 82.38, avg_weight_poisoned 0.9343161582946777
    i=140: accuracy 97.7, attack success rate 80.81, avg_weight_poisoned 1.12307870388031
    i=150: accuracy 97.61, attack success rate 92.91, avg_weight_poisoned 0.8318796157836914
    i=160: accuracy 97.48, attack success rate 86.09, avg_weight_poisoned 1.093772053718567
    i=170: accuracy 97.02, attack success rate 84.36, avg_weight_poisoned 1.0161221027374268
    i=180: accuracy 97.5, attack success rate 64.01, avg_weight_poisoned 1.0387718677520752
    i=190: accuracy 97.31, attack success rate 93.15, avg_weight_poisoned 1.063453197479248
    i=200: accuracy 97.41, attack success rate 96.5, avg_weight_poisoned 0.8980823755264282
    i=210: accuracy 97.44, attack success rate 98.21, avg_weight_poisoned 0.9446134567260742
    i=220: accuracy 97.38, attack success rate 98.45, avg_weight_poisoned 1.0343973636627197
    i=230: accuracy 97.77, attack success rate 96.88, avg_weight_poisoned 1.0268027782440186

defense_MNIST_p0.1_qt0.5
    last 5 epochs
    i=0: accuracy 95.48, attack success rate 11.57, avg_weight_poisoned 0.8884949684143066
    i=10: accuracy 95.69, attack success rate 11.58, avg_weight_poisoned 1.0151991844177246
    i=20: accuracy 95.91, attack success rate 11.83, avg_weight_poisoned 1.0085194110870361
    i=30: accuracy 95.39, attack success rate 11.51, avg_weight_poisoned 1.0949726104736328
    i=40: accuracy 95.91, attack success rate 11.76, avg_weight_poisoned 1.125718116760254
    i=50: accuracy 95.37, attack success rate 12.51, avg_weight_poisoned 1.0236327648162842
    i=60: accuracy 95.84, attack success rate 12.32, avg_weight_poisoned 0.9569296836853027
    i=70: accuracy 96.3, attack success rate 11.93, avg_weight_poisoned 1.1044520139694214
    i=80: accuracy 96.07, attack success rate 11.73, avg_weight_poisoned 0.8663694262504578
    i=90: accuracy 95.78, attack success rate 11.64, avg_weight_poisoned 0.8688843846321106
    i=100: accuracy 96.19, attack success rate 12.03, avg_weight_poisoned 0.9305335879325867
    i=110: accuracy 96.45, attack success rate 11.63, avg_weight_poisoned 0.9177141189575195
    i=120: accuracy 96.41, attack success rate 11.9, avg_weight_poisoned 1.0095875263214111
    i=130: accuracy 96.25, attack success rate 11.93, avg_weight_poisoned 1.0787501335144043
    i=140: accuracy 96.17, attack success rate 11.54, avg_weight_poisoned 1.0110549926757812
    i=150: accuracy 96.49, attack success rate 11.2, avg_weight_poisoned 1.0280306339263916
    i=160: accuracy 96.39, attack success rate 12.09, avg_weight_poisoned 0.9904931783676147
    i=170: accuracy 96.06, attack success rate 12.32, avg_weight_poisoned 0.9645370244979858
    i=180: accuracy 96.46, attack success rate 11.64, avg_weight_poisoned 0.9591480493545532
    i=190: accuracy 96.53, attack success rate 11.81, avg_weight_poisoned 1.0481384992599487
    i=200: accuracy 96.46, attack success rate 11.97, avg_weight_poisoned 0.9316248893737793
    i=210: accuracy 96.7, attack success rate 11.61, avg_weight_poisoned 1.1029008626937866
    i=220: accuracy 96.93, attack success rate 11.65, avg_weight_poisoned 1.0066806077957153
    i=230: accuracy 96.54, attack success rate 11.52, avg_weight_poisoned 1.0519278049468994
    i=0: accuracy 95.75, attack success rate 12.06, avg_weight_poisoned 0.9063779711723328
    i=10: accuracy 96.76, attack success rate 11.93, avg_weight_poisoned 0.9203790426254272
    i=20: accuracy 96.21, attack success rate 12.53, avg_weight_poisoned 0.9401103258132935
    i=30: accuracy 96.41, attack success rate 12.4, avg_weight_poisoned 0.963919460773468
    i=40: accuracy 96.82, attack success rate 12.08, avg_weight_poisoned 0.7995356321334839
    i=50: accuracy 96.85, attack success rate 12.18, avg_weight_poisoned 1.128212571144104
    i=60: accuracy 96.96, attack success rate 12.02, avg_weight_poisoned 0.9746763110160828
    i=70: accuracy 96.89, attack success rate 11.57, avg_weight_poisoned 1.061966896057129
    i=80: accuracy 96.81, attack success rate 12.04, avg_weight_poisoned 0.9796035885810852
    i=90: accuracy 96.52, attack success rate 12.02, avg_weight_poisoned 0.9190337061882019
    i=100: accuracy 96.85, attack success rate 11.37, avg_weight_poisoned 1.0582897663116455
    i=110: accuracy 96.96, attack success rate 11.87, avg_weight_poisoned 1.0275297164916992
    i=120: accuracy 96.93, attack success rate 11.33, avg_weight_poisoned 1.0683972835540771
    i=130: accuracy 97.34, attack success rate 11.49, avg_weight_poisoned 0.94987952709198
    i=140: accuracy 96.99, attack success rate 11.64, avg_weight_poisoned 1.0565156936645508
    i=150: accuracy 97.21, attack success rate 11.41, avg_weight_poisoned 0.9718570709228516
    i=160: accuracy 97.19, attack success rate 11.74, avg_weight_poisoned 0.9670993089675903
    i=170: accuracy 97.32, attack success rate 11.94, avg_weight_poisoned 1.0502831935882568
    i=180: accuracy 97.32, attack success rate 11.77, avg_weight_poisoned 1.0267260074615479
    i=190: accuracy 97.31, attack success rate 11.74, avg_weight_poisoned 1.0339150428771973
    i=200: accuracy 97.27, attack success rate 11.56, avg_weight_poisoned 1.0004770755767822
    i=210: accuracy 97.15, attack success rate 11.54, avg_weight_poisoned 1.0799108743667603
    i=220: accuracy 97.3, attack success rate 11.74, avg_weight_poisoned 1.0359879732131958
    i=230: accuracy 97.41, attack success rate 11.8, avg_weight_poisoned 0.9158485531806946
    i=0: accuracy 97.27, attack success rate 11.37, avg_weight_poisoned 0.9395410418510437
    i=10: accuracy 97.33, attack success rate 11.7, avg_weight_poisoned 1.02586829662323
    i=20: accuracy 97.16, attack success rate 12.0, avg_weight_poisoned 0.9693721532821655
    i=30: accuracy 97.02, attack success rate 12.52, avg_weight_poisoned 1.181625485420227
    i=40: accuracy 96.84, attack success rate 12.43, avg_weight_poisoned 1.0002354383468628
    i=50: accuracy 97.13, attack success rate 11.7, avg_weight_poisoned 0.9937527775764465
    i=60: accuracy 97.46, attack success rate 11.85, avg_weight_poisoned 0.9732989072799683
    i=70: accuracy 97.23, attack success rate 12.02, avg_weight_poisoned 0.8696466684341431
    i=80: accuracy 97.19, attack success rate 12.81, avg_weight_poisoned 1.0576509237289429
    i=90: accuracy 97.49, attack success rate 12.28, avg_weight_poisoned 0.9252991676330566
    i=100: accuracy 97.4, attack success rate 12.18, avg_weight_poisoned 1.0432826280593872
    i=110: accuracy 97.09, attack success rate 13.09, avg_weight_poisoned 0.9457950592041016
    i=120: accuracy 97.48, attack success rate 13.13, avg_weight_poisoned 1.0255153179168701
    i=130: accuracy 97.53, attack success rate 12.23, avg_weight_poisoned 1.0509579181671143
    i=140: accuracy 97.38, attack success rate 13.16, avg_weight_poisoned 0.890483558177948
    i=150: accuracy 97.61, attack success rate 12.7, avg_weight_poisoned 1.0866538286209106
    i=160: accuracy 97.53, attack success rate 13.03, avg_weight_poisoned 1.006683111190796
    i=170: accuracy 97.48, attack success rate 12.76, avg_weight_poisoned 0.8454643487930298
    i=180: accuracy 97.26, attack success rate 15.82, avg_weight_poisoned 1.0556623935699463
    i=190: accuracy 97.47, attack success rate 14.72, avg_weight_poisoned 1.0041453838348389
    i=200: accuracy 97.64, attack success rate 13.77, avg_weight_poisoned 0.912887692451477
    i=210: accuracy 97.59, attack success rate 16.67, avg_weight_poisoned 0.8962706327438354
    i=220: accuracy 96.78, attack success rate 36.59, avg_weight_poisoned 1.0467555522918701
    i=230: accuracy 97.08, attack success rate 27.72, avg_weight_poisoned 0.8051069974899292
    i=0: accuracy 97.44, attack success rate 23.33, avg_weight_poisoned 0.984923243522644
    i=10: accuracy 97.17, attack success rate 48.11, avg_weight_poisoned 1.0515828132629395
    i=20: accuracy 97.42, attack success rate 30.18, avg_weight_poisoned 0.8558535575866699
    i=30: accuracy 97.39, attack success rate 45.93, avg_weight_poisoned 1.0447028875350952
    i=40: accuracy 97.46, attack success rate 36.9, avg_weight_poisoned 1.057734727859497
    i=50: accuracy 97.33, attack success rate 82.57, avg_weight_poisoned 1.0137903690338135
    i=60: accuracy 97.66, attack success rate 73.09, avg_weight_poisoned 0.8275481462478638
    i=70: accuracy 97.3, attack success rate 89.16, avg_weight_poisoned 0.9385076761245728
    i=80: accuracy 97.75, attack success rate 78.7, avg_weight_poisoned 1.089158535003662
    i=90: accuracy 97.77, attack success rate 90.32, avg_weight_poisoned 1.037616491317749
    i=100: accuracy 97.67, attack success rate 85.56, avg_weight_poisoned 1.058546781539917
    i=110: accuracy 97.63, attack success rate 89.58, avg_weight_poisoned 1.0008305311203003
    i=120: accuracy 97.28, attack success rate 85.64, avg_weight_poisoned 1.0981310606002808
    i=130: accuracy 97.67, attack success rate 97.24, avg_weight_poisoned 1.0044829845428467
    i=140: accuracy 97.85, attack success rate 87.58, avg_weight_poisoned 1.0410350561141968
    i=150: accuracy 97.95, attack success rate 97.48, avg_weight_poisoned 1.0038589239120483
    i=160: accuracy 97.29, attack success rate 85.5, avg_weight_poisoned 1.060347318649292
    i=170: accuracy 97.68, attack success rate 96.47, avg_weight_poisoned 0.9186608195304871
    i=180: accuracy 97.74, attack success rate 98.08, avg_weight_poisoned 0.9448480606079102
    i=190: accuracy 97.89, attack success rate 94.03, avg_weight_poisoned 1.0024391412734985
    i=200: accuracy 97.65, attack success rate 81.81, avg_weight_poisoned 1.0872138738632202
    i=210: accuracy 97.48, attack success rate 98.51, avg_weight_poisoned 1.0130774974822998
    i=220: accuracy 97.66, attack success rate 97.93, avg_weight_poisoned 1.0215179920196533
    i=230: accuracy 97.81, attack success rate 98.62, avg_weight_poisoned 1.0151288509368896
    i=0: accuracy 97.64, attack success rate 98.09, avg_weight_poisoned 0.7628608345985413
    i=10: accuracy 97.54, attack success rate 98.06, avg_weight_poisoned 1.1986291408538818
    i=20: accuracy 97.59, attack success rate 98.51, avg_weight_poisoned 0.9094434976577759
    i=30: accuracy 97.42, attack success rate 98.7, avg_weight_poisoned 1.0130451917648315
    i=40: accuracy 97.78, attack success rate 98.9, avg_weight_poisoned 1.123875617980957
    i=50: accuracy 97.49, attack success rate 98.38, avg_weight_poisoned 0.9671213030815125
    i=60: accuracy 98.04, attack success rate 98.25, avg_weight_poisoned 1.0927276611328125
    i=70: accuracy 97.92, attack success rate 97.25, avg_weight_poisoned 1.0920032262802124
    i=80: accuracy 98.18, attack success rate 97.71, avg_weight_poisoned 1.0304148197174072
    i=90: accuracy 98.21, attack success rate 99.29, avg_weight_poisoned 0.9331001043319702
    i=100: accuracy 98.06, attack success rate 98.56, avg_weight_poisoned 1.127345323562622
    i=110: accuracy 97.79, attack success rate 97.82, avg_weight_poisoned 0.9596587419509888
    i=120: accuracy 97.76, attack success rate 98.63, avg_weight_poisoned 1.1289937496185303
    i=130: accuracy 98.16, attack success rate 97.22, avg_weight_poisoned 0.8873153924942017
    i=140: accuracy 97.7, attack success rate 98.81, avg_weight_poisoned 1.0531039237976074
    i=150: accuracy 97.76, attack success rate 98.05, avg_weight_poisoned 0.9000787734985352
    i=160: accuracy 98.12, attack success rate 99.68, avg_weight_poisoned 0.9178024530410767
    i=170: accuracy 98.01, attack success rate 96.45, avg_weight_poisoned 1.1743792295455933
    i=180: accuracy 98.31, attack success rate 98.03, avg_weight_poisoned 0.9962887763977051
    i=190: accuracy 98.01, attack success rate 99.53, avg_weight_poisoned 0.9736183285713196
    i=200: accuracy 98.1, attack success rate 98.43, avg_weight_poisoned 1.0544965267181396
    i=210: accuracy 98.0, attack success rate 99.34, avg_weight_poisoned 1.0411336421966553
    i=220: accuracy 97.92, attack success rate 99.39, avg_weight_poisoned 1.109541654586792
    i=230: accuracy 97.92, attack success rate 98.88, avg_weight_poisoned 0.9327666163444519

defense_MNIST_p0.1_qt0.7
    last 3 epochs
    i=0: accuracy 97.27, attack success rate 11.44, avg_weight_poisoned 0.9496051073074341
    i=10: accuracy 97.31, attack success rate 11.7, avg_weight_poisoned 0.9819613695144653
    i=20: accuracy 97.28, attack success rate 11.9, avg_weight_poisoned 0.9234774708747864
    i=30: accuracy 97.31, attack success rate 12.01, avg_weight_poisoned 1.1485321521759033
    i=40: accuracy 96.8, attack success rate 12.29, avg_weight_poisoned 1.0163187980651855
    i=50: accuracy 97.15, attack success rate 11.71, avg_weight_poisoned 0.9872778654098511
    i=60: accuracy 97.57, attack success rate 11.78, avg_weight_poisoned 0.9264230728149414
    i=70: accuracy 97.33, attack success rate 11.7, avg_weight_poisoned 0.9384662508964539
    i=80: accuracy 97.09, attack success rate 12.54, avg_weight_poisoned 1.0347131490707397
    i=90: accuracy 97.51, attack success rate 12.01, avg_weight_poisoned 0.9197508096694946
    i=100: accuracy 97.4, attack success rate 12.02, avg_weight_poisoned 0.987960696220398
    i=110: accuracy 97.2, attack success rate 12.25, avg_weight_poisoned 0.8900209665298462
    i=120: accuracy 97.5, attack success rate 12.47, avg_weight_poisoned 1.0206921100616455
    i=130: accuracy 97.48, attack success rate 12.65, avg_weight_poisoned 0.981413722038269
    i=140: accuracy 97.42, attack success rate 12.09, avg_weight_poisoned 0.9406550526618958
    i=150: accuracy 97.61, attack success rate 11.8, avg_weight_poisoned 1.0726029872894287
    i=160: accuracy 97.59, attack success rate 12.22, avg_weight_poisoned 1.0149056911468506
    i=170: accuracy 97.62, attack success rate 11.91, avg_weight_poisoned 0.878273606300354
    i=180: accuracy 97.4, attack success rate 13.31, avg_weight_poisoned 1.0293116569519043
    i=190: accuracy 97.47, attack success rate 13.52, avg_weight_poisoned 1.0455105304718018
    i=200: accuracy 97.71, attack success rate 12.08, avg_weight_poisoned 0.9577659368515015
    i=210: accuracy 97.61, attack success rate 14.81, avg_weight_poisoned 0.9558204412460327
    i=220: accuracy 97.65, attack success rate 14.29, avg_weight_poisoned 1.0045530796051025
    i=230: accuracy 97.4, attack success rate 15.77, avg_weight_poisoned 0.8504678010940552
    i=0: accuracy 97.43, attack success rate 16.17, avg_weight_poisoned 1.0031919479370117
    i=10: accuracy 97.39, attack success rate 17.13, avg_weight_poisoned 1.0529471635818481
    i=20: accuracy 97.58, attack success rate 14.29, avg_weight_poisoned 0.8275848627090454
    i=30: accuracy 97.24, attack success rate 22.24, avg_weight_poisoned 1.1380846500396729
    i=40: accuracy 96.83, attack success rate 38.64, avg_weight_poisoned 1.0875062942504883
    i=50: accuracy 96.83, attack success rate 43.08, avg_weight_poisoned 1.159753441810608
    i=60: accuracy 97.31, attack success rate 35.46, avg_weight_poisoned 0.8567506670951843
    i=70: accuracy 97.45, attack success rate 31.05, avg_weight_poisoned 1.0394175052642822
    i=80: accuracy 97.62, attack success rate 25.25, avg_weight_poisoned 1.0795536041259766
    i=90: accuracy 97.82, attack success rate 62.22, avg_weight_poisoned 1.1149133443832397
    i=100: accuracy 97.69, attack success rate 56.85, avg_weight_poisoned 1.1199603080749512
    i=110: accuracy 97.65, attack success rate 46.78, avg_weight_poisoned 1.0064058303833008
    i=120: accuracy 97.32, attack success rate 69.51, avg_weight_poisoned 1.1885101795196533
    i=130: accuracy 97.77, attack success rate 88.23, avg_weight_poisoned 0.9897087812423706
    i=140: accuracy 97.83, attack success rate 88.23, avg_weight_poisoned 1.0396559238433838
    i=150: accuracy 97.9, attack success rate 93.16, avg_weight_poisoned 0.9891579747200012
    i=160: accuracy 97.42, attack success rate 86.55, avg_weight_poisoned 0.9916890859603882
    i=170: accuracy 97.82, attack success rate 94.65, avg_weight_poisoned 0.9665959477424622
    i=180: accuracy 97.74, attack success rate 92.43, avg_weight_poisoned 0.9255735278129578
    i=190: accuracy 97.9, attack success rate 94.15, avg_weight_poisoned 0.9485371708869934
    i=200: accuracy 97.64, attack success rate 92.04, avg_weight_poisoned 1.0921701192855835
    i=210: accuracy 97.44, attack success rate 96.85, avg_weight_poisoned 1.015258550643921
    i=220: accuracy 97.69, attack success rate 96.84, avg_weight_poisoned 0.9993714094161987
    i=230: accuracy 97.72, attack success rate 82.43, avg_weight_poisoned 0.9966320991516113
    i=0: accuracy 97.68, attack success rate 98.59, avg_weight_poisoned 0.7866082787513733
    i=10: accuracy 97.71, attack success rate 96.79, avg_weight_poisoned 1.1770907640457153
    i=20: accuracy 97.81, attack success rate 97.17, avg_weight_poisoned 0.8800422549247742
    i=30: accuracy 97.38, attack success rate 97.23, avg_weight_poisoned 1.0843987464904785
    i=40: accuracy 97.74, attack success rate 96.89, avg_weight_poisoned 1.156643271446228
    i=50: accuracy 97.55, attack success rate 97.56, avg_weight_poisoned 0.9814422726631165
    i=60: accuracy 98.1, attack success rate 96.59, avg_weight_poisoned 1.046792984008789
    i=70: accuracy 97.95, attack success rate 92.61, avg_weight_poisoned 1.108060598373413
    i=80: accuracy 98.29, attack success rate 96.27, avg_weight_poisoned 1.036861777305603
    i=90: accuracy 98.21, attack success rate 98.23, avg_weight_poisoned 0.9267259836196899
    i=100: accuracy 98.14, attack success rate 95.25, avg_weight_poisoned 1.1439893245697021
    i=110: accuracy 97.81, attack success rate 96.77, avg_weight_poisoned 0.9509291648864746
    i=120: accuracy 97.93, attack success rate 99.14, avg_weight_poisoned 1.167838215827942
    i=130: accuracy 98.14, attack success rate 96.66, avg_weight_poisoned 0.8710055351257324
    i=140: accuracy 97.86, attack success rate 98.87, avg_weight_poisoned 1.0743489265441895
    i=150: accuracy 97.78, attack success rate 97.33, avg_weight_poisoned 0.9406262636184692
    i=160: accuracy 98.11, attack success rate 99.51, avg_weight_poisoned 0.9094918370246887
    i=170: accuracy 98.12, attack success rate 95.16, avg_weight_poisoned 1.152628779411316
    i=180: accuracy 98.32, attack success rate 97.85, avg_weight_poisoned 1.0165373086929321
    i=190: accuracy 98.04, attack success rate 99.63, avg_weight_poisoned 0.973987877368927
    i=200: accuracy 98.21, attack success rate 98.2, avg_weight_poisoned 1.0420743227005005
    i=210: accuracy 98.04, attack success rate 99.07, avg_weight_poisoned 1.0004695653915405
    i=220: accuracy 97.94, attack success rate 99.58, avg_weight_poisoned 1.086485505104065
    i=230: accuracy 97.69, attack success rate 98.72, avg_weight_poisoned 0.9107711911201477

defense_MNIST_p0.1_qt0.85
    all 7 epochs
    i=0: accuracy 10.38, attack success rate 0.0, avg_weight_poisoned 0.9902464151382446
    i=10: accuracy 11.42, attack success rate 0.0, avg_weight_poisoned 0.9588796496391296
    i=20: accuracy 11.35, attack success rate 0.0, avg_weight_poisoned 0.9188398122787476
    i=30: accuracy 16.34, attack success rate 0.0, avg_weight_poisoned 1.0099117755889893
    i=40: accuracy 19.52, attack success rate 0.0, avg_weight_poisoned 0.9463794827461243
    i=50: accuracy 30.73, attack success rate 0.0, avg_weight_poisoned 0.8106724619865417
    i=60: accuracy 48.54, attack success rate 0.0, avg_weight_poisoned 1.0123106241226196
    i=70: accuracy 56.76, attack success rate 0.0, avg_weight_poisoned 0.9147116541862488
    i=80: accuracy 72.33, attack success rate 9.07, avg_weight_poisoned 0.8934961557388306
    i=90: accuracy 79.98, attack success rate 12.37, avg_weight_poisoned 0.900795578956604
    i=100: accuracy 80.61, attack success rate 13.51, avg_weight_poisoned 0.9807907938957214
    i=110: accuracy 80.41, attack success rate 12.17, avg_weight_poisoned 0.9771771430969238
    i=120: accuracy 84.88, attack success rate 11.54, avg_weight_poisoned 1.0269168615341187
    i=130: accuracy 85.57, attack success rate 12.36, avg_weight_poisoned 1.073331594467163
    i=140: accuracy 86.57, attack success rate 12.7, avg_weight_poisoned 0.8973318934440613
    i=150: accuracy 87.92, attack success rate 10.86, avg_weight_poisoned 0.9055601358413696
    i=160: accuracy 87.4, attack success rate 12.98, avg_weight_poisoned 1.065531849861145
    i=170: accuracy 88.47, attack success rate 12.33, avg_weight_poisoned 0.9459193348884583
    i=180: accuracy 90.43, attack success rate 12.2, avg_weight_poisoned 1.1356583833694458
    i=190: accuracy 90.19, attack success rate 13.55, avg_weight_poisoned 1.0503956079483032
    i=200: accuracy 90.93, attack success rate 12.06, avg_weight_poisoned 0.9227859377861023
    i=210: accuracy 90.78, attack success rate 12.88, avg_weight_poisoned 0.8577367663383484
    i=220: accuracy 91.26, attack success rate 12.56, avg_weight_poisoned 0.9961650967597961
    i=230: accuracy 90.94, attack success rate 13.56, avg_weight_poisoned 1.0211918354034424
    i=0: accuracy 91.39, attack success rate 10.81, avg_weight_poisoned 1.0102922916412354
    i=10: accuracy 91.79, attack success rate 12.11, avg_weight_poisoned 1.0578466653823853
    i=20: accuracy 91.44, attack success rate 12.02, avg_weight_poisoned 1.005287528038025
    i=30: accuracy 91.13, attack success rate 12.2, avg_weight_poisoned 1.0938760042190552
    i=40: accuracy 92.44, attack success rate 11.85, avg_weight_poisoned 1.1637197732925415
    i=50: accuracy 92.62, attack success rate 12.08, avg_weight_poisoned 0.9300376772880554
    i=60: accuracy 93.18, attack success rate 12.08, avg_weight_poisoned 0.9673861265182495
    i=70: accuracy 93.04, attack success rate 11.99, avg_weight_poisoned 1.0208699703216553
    i=80: accuracy 92.71, attack success rate 12.63, avg_weight_poisoned 0.9739778637886047
    i=90: accuracy 93.55, attack success rate 12.22, avg_weight_poisoned 1.0542879104614258
    i=100: accuracy 94.06, attack success rate 11.56, avg_weight_poisoned 0.834309458732605
    i=110: accuracy 94.32, attack success rate 11.54, avg_weight_poisoned 1.044018030166626
    i=120: accuracy 93.87, attack success rate 12.32, avg_weight_poisoned 1.0252805948257446
    i=130: accuracy 93.58, attack success rate 12.93, avg_weight_poisoned 1.0805540084838867
    i=140: accuracy 94.19, attack success rate 11.92, avg_weight_poisoned 1.0541282892227173
    i=150: accuracy 94.4, attack success rate 11.71, avg_weight_poisoned 1.1373767852783203
    i=160: accuracy 94.57, attack success rate 11.68, avg_weight_poisoned 1.1642295122146606
    i=170: accuracy 94.89, attack success rate 11.85, avg_weight_poisoned 1.1346911191940308
    i=180: accuracy 94.66, attack success rate 12.04, avg_weight_poisoned 0.9881241917610168
    i=190: accuracy 94.76, attack success rate 11.77, avg_weight_poisoned 0.9339262247085571
    i=200: accuracy 95.32, attack success rate 11.76, avg_weight_poisoned 0.9928987622261047
    i=210: accuracy 95.04, attack success rate 11.47, avg_weight_poisoned 0.9836433529853821
    i=220: accuracy 94.71, attack success rate 11.52, avg_weight_poisoned 0.9945889711380005
    i=230: accuracy 95.34, attack success rate 12.07, avg_weight_poisoned 1.147456407546997
    i=0: accuracy 95.17, attack success rate 11.55, avg_weight_poisoned 0.9008668065071106
    i=10: accuracy 95.59, attack success rate 11.52, avg_weight_poisoned 0.9598395228385925
    i=20: accuracy 95.7, attack success rate 11.87, avg_weight_poisoned 0.9761561155319214
    i=30: accuracy 95.31, attack success rate 11.47, avg_weight_poisoned 1.0544264316558838
    i=40: accuracy 95.81, attack success rate 11.68, avg_weight_poisoned 1.1050550937652588
    i=50: accuracy 95.26, attack success rate 12.5, avg_weight_poisoned 1.0118896961212158
    i=60: accuracy 95.84, attack success rate 12.09, avg_weight_poisoned 1.0487021207809448
    i=70: accuracy 96.39, attack success rate 11.89, avg_weight_poisoned 1.0670713186264038
    i=80: accuracy 95.94, attack success rate 11.69, avg_weight_poisoned 0.9360237121582031
    i=90: accuracy 95.9, attack success rate 11.59, avg_weight_poisoned 0.9216622114181519
    i=100: accuracy 96.25, attack success rate 12.04, avg_weight_poisoned 0.9160737991333008
    i=110: accuracy 96.36, attack success rate 11.65, avg_weight_poisoned 1.0014852285385132
    i=120: accuracy 96.32, attack success rate 11.89, avg_weight_poisoned 0.9962149858474731
    i=130: accuracy 96.3, attack success rate 11.94, avg_weight_poisoned 0.9953268766403198
    i=140: accuracy 96.18, attack success rate 11.59, avg_weight_poisoned 0.961919903755188
    i=150: accuracy 96.48, attack success rate 11.19, avg_weight_poisoned 1.0275824069976807
    i=160: accuracy 96.41, attack success rate 12.06, avg_weight_poisoned 1.026214361190796
